product_id,total_revenue,total_quantity_sold,total_orders,avg_unit_price,first_order_date,last_order_date,product_name,category_id
101,24593.55,159,86,160.9,2023-01-02,2025-06-12,EcoSmart Tablet Stand Plus,3
133,23806.64,172,90,145.74,2023-01-04,2025-06-11,PrimeChoice Power Bank Pro,1
40,23343.87,150,78,163.13,2023-02-07,2025-06-28,PrimeChoice Humidifier Pro,6
148,23046.65,142,84,170.59,2023-01-14,2025-06-21,UrbanEdge Wireless Headphones Plus,4
41,22933.32,176,95,135.58,2023-01-05,2025-06-23,UrbanEdge Sleeping Bag Pro,15
65,22920.4,151,79,157.42,2023-01-24,2025-06-18,CoreFit Standing Desk Lite,7
51,22738.36,164,86,144.83,2023-01-13,2025-06-16,Zenith Soundbar Plus,4
93,22653.46,122,70,191.33,2023-01-13,2025-06-16,EcoSmart GPS Watch Plus,5
191,22440.26,149,80,156.87,2023-01-08,2025-05-30,DigitalWave Smart Plug Pro,6
183,22403.75,169,89,139.98,2023-01-06,2025-05-22,NovaBrand Screen Protector Max,1
38,22060.65,127,76,179.94,2023-01-02,2025-06-16,Zenith Earbuds Pro Pro,4
52,21628.38,157,79,142.95,2023-01-08,2025-06-23,TechPro Wireless Charger Mini,1
106,21450.3,177,93,127.0,2023-01-16,2025-06-13,NatureLux String Lights Lite,9
82,21134.29,168,89,131.76,2023-01-17,2025-06-26,Summit Screen Protector Max,1
177,21043.4,160,88,135.11,2023-01-09,2025-06-11,CoreFit Ankle Boots Plus,12
113,20916.17,143,74,152.84,2023-01-10,2025-06-24,CoreFit Instant Pot Lite,8
3,20903.15,151,90,144.16,2023-01-01,2025-06-22,EcoSmart Phone Case Mini,3
48,20846.31,167,90,129.48,2023-01-04,2025-06-16,Zenith Power Bank Plus,1
180,20620.28,144,74,147.71,2023-01-04,2025-06-21,Summit Phone Case Lite,3
61,20158.96,139,73,149.05,2023-01-17,2025-06-23,NatureLux Instant Pot Pro,8
81,20073.92,137,72,152.77,2023-01-09,2025-06-30,Summit Car Mount,3
19,20069.96,138,73,149.72,2023-01-12,2025-06-01,Zenith Phone Mount,20
31,19908.79,153,85,135.85,2023-02-03,2025-06-10,TechPro Power Bank Mini,1
185,19894.87,192,100,108.36,2023-01-08,2025-06-30,PrimeChoice Earbuds Pro Max,4
73,19851.58,175,100,117.43,2023-01-10,2025-06-25,CoreFit Humidifier,6
109,19314.05,145,83,138.95,2023-01-06,2025-06-25,Summit Smart Bulb Max,9
91,18842.66,150,73,129.86,2023-01-16,2025-06-27,PrimeChoice Stylus Pen V2,3
167,18615.51,143,71,133.54,2023-01-02,2025-06-23,EcoSmart Wireless Charger Lite,1
89,18488.6,172,94,112.12,2023-01-05,2025-06-16,CoreFit Monitor Arm Mini,2
16,17646.17,161,79,114.66,2023-01-20,2025-06-22,NovaBrand Smart Plug V2,6
28,17626.01,122,74,149.69,2023-01-25,2025-06-06,NatureLux Laptop Stand,2
4,17287.65,146,79,123.0,2023-01-09,2025-05-25,UrbanEdge Power Bank Max,1
200,17053.44,149,74,120.01,2023-01-06,2025-06-16,Zenith Power Bank Pro,1
47,16866.68,141,78,123.25,2023-01-06,2025-06-24,TechPro Soundbar Lite,4
72,16375.17,148,79,116.84,2023-01-30,2025-06-14,TechPro Power Bank Max,1
110,16227.07,154,84,108.87,2023-01-05,2025-06-29,DigitalWave String Lights,9
128,16169.23,154,76,111.32,2023-01-20,2025-06-24,UrbanEdge HDMI Cable Plus,1
70,16151.96,181,89,93.31,2023-01-16,2025-06-23,UrbanEdge USB-C Hub Mini,1
50,16146.9,175,87,96.17,2023-01-01,2025-06-02,TechPro GPS Watch Pro,5
78,16120.62,168,83,99.51,2023-01-23,2025-05-22,PrimeChoice Car Mount Lite,3
57,16104.45,165,93,101.0,2023-02-03,2025-06-16,CoreFit Fast Charger Mini,3
161,16049.04,175,91,95.53,2023-01-16,2025-06-28,PrimeChoice Scarf Plus,10
99,15102.75,136,80,115.73,2023-01-22,2025-05-29,Summit Stylus Pen,3
154,14995.98,145,77,109.34,2023-01-06,2025-06-21,Summit Building Blocks Pro,19
129,14778.33,170,80,89.43,2023-01-06,2025-06-19,DigitalWave Jacket V2,10
23,14682.79,158,87,96.47,2023-01-12,2025-06-28,TechPro Essential Oil V2,18
108,14567.8,176,92,86.92,2023-01-15,2025-06-09,CoreFit Fitness Band Pro,5
121,14320.5,151,84,98.83,2023-01-09,2025-06-29,NovaBrand Sleeping Bag V2,15
2,14189.15,156,77,94.28,2023-01-26,2025-06-14,NatureLux USB-C Hub V2,1
111,13898.69,169,92,86.06,2023-01-12,2025-06-03,Zenith Water Bottle V2,13
179,13483.42,183,91,76.48,2023-01-04,2025-05-23,UrbanEdge Kitchen Scale Pro,8
156,13147.07,170,90,79.97,2023-01-06,2025-06-11,Zenith Whiteboard Plus,17
24,12646.71,141,81,93.23,2023-01-02,2025-06-24,DigitalWave RC Car V2,19
122,12330.68,165,84,78.39,2023-01-04,2025-06-27,DigitalWave Foam Roller Lite,13
77,11897.17,176,100,69.27,2023-01-05,2025-06-28,Zenith Wireless Headphones Max,4
62,11875.8,161,77,76.47,2023-01-08,2025-06-07,PrimeChoice Resistance Bands V2,13
181,11829.39,159,86,78.03,2023-01-10,2025-06-30,PrimeChoice Vitamin Pack Lite,18
5,11803.14,137,77,88.98,2023-01-07,2025-06-26,PrimeChoice Hoodie Max,10
197,11612.92,129,83,93.69,2023-01-21,2025-05-19,CoreFit Screen Protector,1
56,11423.51,158,89,75.13,2023-01-02,2025-06-21,CoreFit Soundbar Mini,4
170,11360.7,124,72,95.75,2023-01-17,2025-06-13,CoreFit Soundbar Max,4
49,11237.37,152,80,77.18,2023-01-02,2025-06-28,Zenith Car Mount,3
98,10828.62,133,75,85.03,2023-01-02,2025-06-21,NovaBrand Resistance Bands Lite,13
125,10736.56,162,86,68.67,2023-01-10,2025-05-26,DigitalWave Yoga Mat Lite,13
119,9911.99,152,82,66.86,2023-01-13,2025-06-29,Summit Microphone Lite,4
175,9720.6,178,88,56.68,2023-01-06,2025-06-20,EcoSmart Yoga Mat Pro,13
30,9609.67,194,93,51.32,2023-01-04,2025-06-19,TechPro Humidifier Max,6
196,9442.91,197,102,49.87,2023-01-05,2025-06-23,UrbanEdge Stylus Pen V2,3
123,9366.26,151,93,64.24,2023-01-17,2025-06-09,NovaBrand Polo Shirt Lite,10
171,9345.31,174,90,55.66,2023-01-16,2025-06-06,Summit Jump Rope Max,13
198,9326.84,194,101,49.73,2023-02-01,2025-05-28,NatureLux Bestseller Novel V2,16
134,9203.46,157,78,61.5,2023-01-02,2025-06-28,PrimeChoice Card Game Mini,19
20,8548.08,188,95,47.41,2023-01-30,2025-06-16,NatureLux LED Strip Lights Lite,6
79,8433.93,137,80,64.43,2023-01-09,2025-06-20,NatureLux Car Mount Plus,3
174,8311.11,125,79,68.63,2023-02-18,2025-06-25,Summit Wireless Charger Lite,1
150,8179.2,151,77,56.8,2023-01-04,2025-06-30,CoreFit Webcam Pro,2
152,8080.22,132,75,64.18,2023-01-12,2025-06-01,NatureLux USB-C Hub Lite,1
162,8042.96,162,87,51.64,2023-02-20,2025-06-21,Zenith Card Game V2,19
85,7983.76,166,87,49.93,2023-01-09,2025-06-07,NovaBrand Foam Roller,13
178,7977.86,164,91,50.27,2023-02-01,2025-06-23,TechPro Puzzle 1000pc Plus,19
164,7740.35,136,77,59.45,2023-01-06,2025-06-29,PrimeChoice Air Purifier Lite,6
158,7614.07,180,97,43.86,2023-01-01,2025-06-24,NovaBrand Whiteboard Mini,17
149,7491.15,146,74,52.96,2023-01-14,2025-05-27,UrbanEdge Label Maker Lite,17
193,7443.14,153,79,50.19,2023-01-06,2025-06-05,TechPro Wireless Charger Lite,1
54,7305.11,166,90,45.7,2023-01-07,2025-06-30,Zenith Essential Oil Pro,18
18,7295.93,150,82,50.23,2023-01-27,2025-06-23,Zenith Car Mount Mini,3
26,7105.86,134,76,54.43,2023-01-10,2025-06-15,NatureLux Phone Mount,20
37,6938.84,169,94,42.78,2023-01-22,2025-06-18,PrimeChoice Essential Oil Pro,18
139,6842.29,177,92,40.19,2023-01-10,2025-06-25,UrbanEdge Wireless Charger,1
126,6676.65,161,85,42.84,2023-01-17,2025-06-23,NovaBrand Pen Collection Pro,17
84,6488.45,151,75,44.64,2023-01-07,2025-06-23,CoreFit Travel Guide Plus,16
105,6393.36,132,79,50.62,2023-01-08,2025-06-25,Summit Whiteboard,17
153,6381.47,165,93,40.11,2023-01-05,2025-06-09,NovaBrand Car Mount V2,3
188,6379.59,172,91,38.19,2023-01-05,2025-06-21,DigitalWave Hoodie Plus,10
60,6345.76,145,80,46.05,2023-01-02,2025-06-07,TechPro Denim Jeans Lite,11
53,6252.24,140,71,46.04,2023-01-15,2025-05-11,Summit Stylus Pen Mini,3
1,5919.2,152,87,40.71,2023-01-10,2025-05-13,UrbanEdge Basic Tee Pro,10
165,5708.89,108,65,54.84,2023-01-02,2025-06-16,EcoSmart Sunscreen V2,18
83,5580.14,143,81,40.82,2023-01-01,2025-06-16,CoreFit Tech Handbook,16
39,5326.08,158,82,35.46,2023-01-11,2025-06-23,UrbanEdge Label Maker Max,17
42,5207.11,146,79,37.22,2023-01-06,2025-06-25,DigitalWave HDMI Cable Pro,1
63,5148.17,170,89,31.72,2023-01-10,2025-06-21,UrbanEdge Earbuds Pro V2,4
10,5141.75,171,89,31.4,2023-01-03,2025-06-23,NovaBrand Wireless Charger Mini,1
137,4832.66,146,75,34.73,2023-01-06,2025-06-27,TechPro Whiteboard Lite,17
199,4694.2,177,94,27.54,2023-01-09,2025-06-23,Zenith Label Maker V2,17
138,4310.0,152,84,29.26,2023-01-09,2025-06-15,EcoSmart Power Bank Mini,1
194,4098.11,129,71,33.17,2023-01-10,2025-06-06,Zenith Desk Organizer Mini,17
135,3954.49,139,85,29.38,2023-01-09,2025-06-15,DigitalWave Puzzle 1000pc Mini,19
46,3314.01,118,70,29.91,2023-01-08,2025-04-30,NatureLux Stylus Pen Plus,3
8,3240.3,174,79,19.27,2023-01-03,2025-06-04,UrbanEdge Power Bank Lite,1
187,3214.53,178,90,18.7,2023-01-27,2025-06-25,PrimeChoice Power Bank Pro,1
17,3169.29,166,86,19.92,2023-01-10,2025-06-30,Summit Wireless Charger,1
92,2944.02,134,70,22.62,2023-01-16,2025-06-26,EcoSmart Power Bank Pro,1
114,2941.71,181,98,16.97,2023-01-04,2025-06-15,DigitalWave USB-C Hub Mini,1
124,2910.88,145,87,20.74,2023-02-07,2025-06-02,UrbanEdge Power Bank Mini,1
43,2898.18,174,86,17.19,2023-01-02,2025-06-26,Zenith Bestseller Novel Mini,16
74,2891.49,138,73,21.79,2023-01-07,2025-06-18,NatureLux Car Mount Mini,3
146,2843.11,153,77,19.48,2023-01-17,2025-06-27,Summit Bestseller Novel Mini,16
120,2730.45,168,85,16.87,2023-02-06,2025-06-08,EcoSmart Resistance Bands Plus,13
112,2175.9,141,88,16.13,2023-01-02,2025-06-17,Summit Stylus Pen Plus,3
